drug_name,medical_condition,generic_name,side_effects
Dymista,Hayfever,azelastine and fluticasone nasal,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using the medicine and call your doctor at once if you have: severe drowsiness; severe or ongoing nosebleeds ; noisy breathing, runny nose , or crusting around your nostrils; redness, sores, or white patches in your mouth or throat; fever, chills, tiredness, body aches; blurred vision, tunnel vision, eye pain , or seeing halos around lights; any wound that will not heal; or signs of low adrenal gland hormones - worsening tiredness or weakness, feeling light-headed, nausea , vomiting . Steroid medicine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Common Dymista side effects may include: headache ; nosebleeds; or altered sense of taste."
Clarinex,Hayfever,desloratadine,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Common Clarinex side effects may include: dry mouth, sore throat ; muscle pain; drowsiness, tiredness; or menstrual pain."
Nasacort Allergy 24HR,Hayfever,triamcinolone (nasal),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: fever, chills, body aches, flu symptoms; nosebleeds ; or blurred vision, tunnel vision, eye pain , or seeing halos around lights. Triamcinolone can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Less serious Nasacort side effects may be more likely, and you may have none at all."
Aller-Tec,Hayfever,cetirizine hydrochloride,
desloratadine,Hayfever,desloratadine,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Common side effects of desloratadine may include: dry mouth, sore throat ; muscle pain; drowsiness, tiredness; or menstrual pain."
mometasone,Hayfever,mometasone nasal,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mometasone nasal may cause serious side effects. Call your doctor at once if you have: severe bleeding or increased drainage from your nose; nose pain or discomfort, headache ; white patches or sores in the nose that won't heal; wheezing, trouble breathing; vision problems; irritation or a choking feeling in the back of your throat (may be signs that the implant has moved inside your nose); or ear pain or full feeling, trouble hearing, drainage from the ear. Steroid medicine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using mometasone nasal. Although the risk of serious side effects is low when mometasone is used in the nose, side effects can occur if the medicine is absorbed into your bloodstream. Tell your doctor if you have possible signs of long-term steroid use: weight gain (especially in your face or your upper back and torso); slow wound healing, thinning skin, increased body hair; irregular menstrual periods, changes in sexual function; or muscle weakness, tired feeling, depression , anxiety , or feeling irritable. Common side effects of mometasone nasal may include: nosebleeds ; headache; stuffy nose, sore throat , cough; or flu-like symptoms."
Phenergan,Hayfever,promethazine (oral),"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Phenergan and call your doctor at once if you have: severe drowsiness, weak or shallow breathing; a light-headed feeling, like you might pass out; confusion, agitation, hallucinations, nightmares; seizure (convulsions); fast or slow heartbeats; jaundice (yellowing of the skin or eyes); uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); easy bruising or bleeding (nosebleeds, bleeding gums); sudden weakness or ill feeling, fever, chills, sore throat, mouth sores, red or swollen gums, trouble swallowing; or very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Side effects such as confusion and severe drowsiness may be more likely in older adults. Common Phenergan side effects may include: drowsiness, dizziness; ringing in your ears; double vision; feeling nervous; dry mouth; or tired feeling, sleep problems (insomnia)."
triamcinolone,Hayfever,triamcinolone (nasal),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Triamcinolone may cause serious side effects. Call your doctor at once if you have: fever, chills, body aches, flu symptoms; nosebleeds ; or blurred vision, tunnel vision, eye pain , or seeing halos around lights. Triamcinolone nasal can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Less serious side effects may be more likely, and you may have none at all."
Alavert,Hayfever,loratadine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects of Alavert may include: headache ; or feeling tired or drowsy."
Allegra-D 12 Hour,Hayfever,fexofenadine and pseudoephedrine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Allegra-D and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; or severe dizziness, anxiety, restless feeling, tremors, or nervousness. Common Allegra-D side effects may include: mild dizziness; dry mouth, nose, or throat; nausea; or sleep problems (insomnia)."
Allegra-D 24 Hour,Hayfever,fexofenadine and pseudoephedrine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; or severe dizziness, anxiety, restless feeling, tremors, or nervousness. Common Allegra-D 24 Hour side effects may include: mild dizziness; dry mouth, nose, or throat; nausea; or sleep problems (insomnia)."
Allergy Relief Tablets,Hayfever,loratadine,
budesonide,Hayfever,budesonide nasal,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. budesonide nasal may cause serious side effects. Stop using budesonide nasal and call your doctor at once if you have: come into contact with anyone who has chickenpox, measles or tuberculosis ; severe or ongoing nosebleeds ; vision problems; or fever, chills, body aches, flu symptoms. Less serious side effects may be more likely, and you may have none at all."
Claritin Reditabs,Hayfever,loratadine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects of Claritin Reditab may include: headache ; or feeling tired or drowsy."
Flonase Sensimist,Hayfever,Fluticasone Nasal Spray,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of a weak adrenal gland like a very bad upset stomach or throwing up, very bad dizziness or passing out, muscle weakness, feeling very tired, mood changes, not hungry, or weight loss . Nose sores. Bad nosebleeds . Whistling sound when you breathe. Redness or white patches in mouth or throat. Change in eyesight. Nose discharge that is not normal. Very bad face pain. Crusting in the nose. Runny nose . Bone pain. Fever or chills. Very bad sore throat . Flonase Sensimist side effects"
promethazine,Hayfever,promethazine (oral),"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using promethazine and call your doctor at once if you have: severe drowsiness, weak or shallow breathing; a light-headed feeling, like you might pass out; confusion, agitation, hallucinations, nightmares; seizure (convulsions); fast or slow heartbeats; jaundice (yellowing of the skin or eyes); uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); easy bruising or bleeding (nosebleeds, bleeding gums); sudden weakness or ill feeling, fever, chills, sore throat, mouth sores, red or swollen gums, trouble swallowing; or severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Side effects such as confusion and severe drowsiness may be more likely in older adults. Common promethazine side effects may include: drowsiness, dizziness; ringing in your ears; double vision; feeling nervous; dry mouth; or tired feeling, sleep problems (insomnia)."
Zyrtec-D,Hayfever,cetirizine and pseudoephedrine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Zyrtec-D may cause serious side effects. Stop using Zyrtec-D and call your doctor at once if you have: fast, pounding, or uneven heartbeat; weakness, tremors (uncontrolled shaking) severe restless feeling, hyperactivity, extreme feeling of fear or confusion; problems with vision; little or no urinating; or high blood pressure (severe headache , buzzing in your ears, chest pain, shortness of breath, uneven heartbeats). Common side effects of Zyrtec-D may include: dizziness , drowsiness, tired feeling; sleep problems ( insomnia ); dry mouth, nausea , stomach pain, constipation ; or trouble concentrating."
All Day Allergy,Hayfever,cetirizine hydrochloride,
All Day Allergy Children's,Hayfever,cetirizine hydrochloride,
Allegra ODT,Hayfever,fexofenadine (oral route),"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Rare Chest tightness feeling of warmth, redness of the face, neck, arms and occasionally, upper chest large, hive-like swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs shortness of breath, difficult or labored breathing Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Vomiting Less common Back pain body aches or pain chills coughing diarrhea difficulty with moving dizziness ear congestion earache fever headache joint pain loss of voice muscle aching or cramping muscle pains or stiffness nasal congestion nausea pain in arms or legs pain or tenderness around eyes or cheekbones painful menstrual bleeding redness or swelling in ear ringing or buzzing in ears runny or stuffy nose sleepiness or unusual drowsiness sneezing sore throat stomach upset swollen joints unusual feeling of tiredness or weakness viral infection (such as cold and flu) Rare Nervousness rash sleeplessness terrifying dreams trouble sleeping Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Allegra ODT side effects"
Aller-Tec Children's,Hayfever,cetirizine hydrochloride,
Allergy Relief 24 Hour,Hayfever,loratadine,
Antinaus 50,Hayfever,"promethazine (injection route, intravenous route)","Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor or nurse immediately if any of the following side effects occur: Rare Convulsions (seizures) difficult or unusually fast breathing fast heartbeat or irregular pulse high fever high or low blood pressure increased sweating loss of bladder control severe muscle stiffness unusually pale skin unusual tiredness or weakness Incidence not known Abdominal or stomach pain black, tarry stools blood in the urine bloody nose blurred vision chest pain or discomfort chills clay-colored stools cough or hoarseness dark urine decreased awareness or responsiveness difficulty with speaking dizziness double vision drooling fast, pounding, or irregular heartbeat or pulse fever with or without chills fixed position of the eye headache heavier menstrual periods increases and decreases in blood pressure itching large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs lightheadedness, dizziness, or fainting loss of appetite loss of balance control lower back or side pain mimicry of speech or movements muscle trembling, jerking, or stiffness mutism nausea negativism noisy breathing painful or difficult urination peculiar postures or movements, mannerisms, or grimacing pinpoint red spots on the skin restlessness seeing double seeing, hearing, or feeling things that are not there seizures severe sleepiness shortness of breath shuffling walk skin rash slow or irregular heartbeat sore throat sores, ulcers, or white spots on the lips or in the mouth stiffness of the limbs swollen glands tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over the affected area tightness in the chest tremors twisting movements of the body uncontrolled movements, especially of the face, neck, and back unpleasant breath odor unusual bleeding or bruising vomiting of blood wheezing yellow eyes or skin Symptom of overdose Abnormal movements confusion as to time, place, or person dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position feeling of warmth holding false beliefs that cannot be changed by fact hyperexcitability irregular, fast or slow, or shallow breathing nightmares pale or blue lips, fingernails, or skin pupils of the eyes, large and not moving or responding to light redness of the face, neck, arms, and occasionally, upper chest sweating troubled breathing unusual excitement, nervousness, or restlessness Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Blistering, crusting, irritation, or reddening of the skin continuing ringing or buzzing or other unexplained noise in the ears discoloration of the skin drowsiness dry mouth excitation false or unusual sense of well-being hearing loss hives or welts increased sensitivity of the skin to sunlight lack of coordination loss of strength or energy muscle pain or weakness nasal stuffiness nervousness severe sunburn sleeplessness trouble sleeping unable to sleep vomiting Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Antinaus 50 side effects"
beclomethasone,Hayfever,beclomethasone nasal,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Beclomethasone nasal may cause serious side effects. Call your doctor at once if you have: severe or ongoing nosebleed; sores in the nose that won't heal; blurred vision, eye pain , or seeing halos around lights; signs of a hormonal disorder--worsening tiredness or muscle weakness, anxiety , feeling irritable, feeling light-headed, nausea , vomiting , loss of appetite, diarrhea , weight loss , or weight gain (especially in your face or your upper back and torso); or signs of infection--fever, chills, sores or white patches in or around your nose, flu symptoms, redness or swelling. Beclomethasone nasal can affect growth in children. Talk with your doctor if you think your child is not growing at a normal rate while using beclomethasone nasal. Common side effects of beclomethasone nasal may include: discomfort or irritation inside your nose; sneezing, runny or stuffy nose; nosebleed; fever, sore throat ; headache , nausea; or unpleasant taste or smell."
cetirizine / pseudoephedrine,Hayfever,cetirizine and pseudoephedrine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Cetirizine and pseudoephedrine may cause serious side effects. Stop using cetirizine and pseudoephedrine and call your doctor at once if you have: fast, pounding, or uneven heartbeat; weakness, tremors (uncontrolled shaking) severe restless feeling, hyperactivity, extreme feeling of fear or confusion; problems with vision; little or no urinating; or high blood pressure (severe headache , buzzing in your ears, chest pain, shortness of breath, uneven heartbeats). Common side effects of cetirizine and pseudoephedrine may include: dizziness , drowsiness, tired feeling; sleep problems ( insomnia ); dry mouth, nausea , stomach pain, constipation ; or trouble concentrating."
Children's Claritin Allergy,Hayfever,Loratadine Chewable Tablets,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Feeling very tired or weak. Children's Claritin Allergy side effects"
Claritin-D,Hayfever,loratadine and pseudoephedrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; or severe dizziness , nervousness, or restless feeling. Common Claritin-D side effects may include: dry mouth, nose, or throat; mild dizziness; or sleep problems ( insomnia )."
Claritin-D 24 Hour,Hayfever,loratadine and pseudoephedrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; or severe dizziness , nervousness , or restless feeling. Common side effects of Claritin-D 24 Hour may include: dry mouth, nose, or throat; mild dizziness; or sleep problems ( insomnia )."
Clinacort,Hayfever,triamcinolone (injection route),"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor or nurse immediately if any of the following side effects occur: More common Aggression agitation anxiety blurred vision decrease in the amount of urine dizziness fast, slow, pounding, or irregular heartbeat or pulse headache irritability mental depression mood changes nervousness noisy, rattling breathing numbness or tingling in the arms or legs pounding in the ears shortness of breath swelling of the fingers, hands, feet, or lower legs trouble thinking, speaking, or walking troubled breathing at rest weight gain Incidence not known Abdominal cramping and/or burning (severe) abdominal pain backache bloody, black, or tarry stools cough or hoarseness darkening of skin decreased vision diarrhea dry mouth eye pain eye tearing facial hair growth in females fainting fatigue fever or chills flushed, dry skin fractures fruit-like breath odor full or round face, neck, or trunk heartburn and/or indigestion (severe and continuous) increased hunger increased thirst increased urination loss of appetite loss of sexual desire or ability lower back or side pain menstrual irregularities muscle pain or tenderness muscle wasting or weakness nausea pain in back, ribs, arms, or legs painful or difficult urination skin rash sleeplessness sweating trouble healing trouble sleeping unexplained weight loss unusual tiredness or weakness vision changes vomiting vomiting of material that looks like coffee grounds Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Blemishes on the skin bruising dry, scaly skin feeling of constant movement of self or surroundings full or bloated feeling increased appetite increased hair growth on the face, forehead, back, arms, and legs large, flat, blue, or purplish patches in the skin pimples pitting or depression of the skin at the injection site reddish purple lines on the arms, face, legs, trunk, or groin redness of the skin redness, swelling, tenderness, or pain at the injection site sensation of spinning small, red, or purple spots on the skin thin, fragile, or shiny skin thinning of the scalp hair Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Clinacort side effects"
cyproheptadine,Hayfever,cyproheptadine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Cyproheptadine may cause serious side effects. Stop using cyproheptadine and call your doctor at once if you have: a light-headed feeling, like you might pass out; tremor, seizure (convulsions); confusion, hallucinations; little or no urination; fast or pounding heartbeats; easy bruising or bleeding; ringing in your ears; or pale or yellowed skin, dark colored urine, fever, weakness. Common side effects of cyproheptadine may include: drowsiness, dizziness ; dry mouth, nose, or throat; constipation ; blurred vision; or feeling restless or excited (especially in children)."
flunisolide,Hayfever,flunisolide nasal,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Flunisolide nasal may cause serious side effects. Call your doctor at once if you have: severe or ongoing nosebleeds ; itching, irritation, sores, or white patches in your nose, mouth, or throat; crusting around your nostrils; any wound that will not heal; or fever, chills, weakness, flu symptoms. Common side effects of flunisolide nasal may include: burning or stinging in your nose; stuffy nose, sneezing, minor nosebleed; changes in your sense of smell or taste; watery eyes ; irritation in your nose, sore throat ; nausea , vomiting ; or headache ."
Loratadine-D 24 Hour,Hayfever,loratadine and pseudoephedrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; or severe dizziness , nervousness , or restless feeling. Common side effects of Loratadine-D 24 Hour may include: dry mouth, nose, or throat; mild dizziness; or sleep problems ( insomnia )."
ohm Allergy Relief,Hayfever,loratadine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects of ohm Allergy Relief may include: headache ; or feeling tired or drowsy."
Omnaris,Hayfever,ciclesonide nasal,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Nasal steroid medicine can be absorbed into your bloodstream, which may cause steroid side effects throughout the body. Tell your doctor if you have: weight gain (especially in your face or your upper back and torso); slow wound healing, thinning skin, increased body hair; irregular menstrual periods, changes in sexual function; or muscle weakness, tired feeling, depression, anxiety, feeling irritable. Call your doctor at once if you have: runny or bloody nose, crusting inside the nose, whistling sound when you breathe; sores or white patches in or around your nostrils; fever, chills, body aches, nausea, vomiting; blurred vision, tunnel vision, eye pain, seeing halos around lights; or signs of a hormonal disorder - worsening tiredness or weakness, feeling light-headed, vomiting, loss of appetite, diarrhea, and weight loss. Common Omnaris side effects may include: headache, dizziness; nosebleed, nasal irritation; stuffy nose, sore throat; or ear pain."
Patanase,Hayfever,olopatadine (nasal),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Patanase and call your doctor at once if you have: nosebleed; painful sores inside your nose; fever; or pain or burning when you urinate. Common Patanase side effects may include: runny or stuffy nose, nosebleeds ; cough, throat pain or irritation; a bitter taste in your mouth; drowsiness; headache ; fever; rash; or painful urination."
Phenadoz,Hayfever,promethazine (rectal),"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Phenadoz may cause serious side effects. Call your doctor at once if you have: severe drowsiness, weak or shallow breathing; a light-headed feeling, like you might pass out; confusion, agitation , hallucinations, nightmares ; seizure (convulsions); fast or slow heartbeats; jaundice (yellowing of the skin or eyes); uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); easy bruising or bleeding ( nosebleeds , bleeding gums); sudden weakness or ill feeling, fever, chills, sore throat , mouth sores, red or swollen gums, trouble swallowing; or severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Common side effects of Phenadoz may include: drowsiness, dizziness ; ringing in your ears; double vision; feeling nervous; dry mouth; or tiredness, sleep problems ( insomnia )."
Promethegan,Hayfever,promethazine (rectal),"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Promethegan may cause serious side effects. Call your doctor at once if you have: severe drowsiness, weak or shallow breathing; a light-headed feeling, like you might pass out; confusion, agitation , hallucinations, nightmares ; seizure (convulsions); fast or slow heartbeats; jaundice (yellowing of the skin or eyes); uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); easy bruising or bleeding ( nosebleeds , bleeding gums); sudden weakness or ill feeling, fever, chills, sore throat , mouth sores, red or swollen gums, trouble swallowing; or severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Common side effects of Promethegan may include: drowsiness, dizziness ; ringing in your ears; double vision; feeling nervous; dry mouth; or tiredness, sleep problems ( insomnia )."
QNASL,Hayfever,beclomethasone nasal,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe or ongoing nosebleed; sores in the nose that won't heal; blurred vision, eye pain , or seeing halos around lights; signs of a hormonal disorder - worsening tiredness or muscle weakness, anxiety , feeling irritable, feeling light-headed, nausea , vomiting , loss of appetite, diarrhea , weight loss , or weight gain (especially in your face or your upper back and torso); or signs of infection - fever, chills, sores or white patches in or around your nose, flu symptoms, redness or swelling. Beclomethasone can affect growth in children. Talk with your doctor if you think your child is not growing at a normal rate while using this medicine. Common QNASL side effects may include: discomfort or irritation inside your nose; sneezing, runny or stuffy nose; nosebleed; fever, sore throat ; headache , nausea; or unpleasant taste or smell."
Tavist ND,Hayfever,loratadine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects of Tavist ND may include: headache ; or feeling tired or drowsy."
Ticanase,Hayfever,fluticasone propionate,
Wal-itin,Hayfever,loratadine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects of Wal-itin may include: headache ; or feeling tired or drowsy."
ZoDex,Hayfever,Dexamethasone Tablets,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of low potassium levels like muscle pain or weakness, muscle cramps, or a heartbeat that does not feel normal. Signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. Signs of high blood pressure like very bad headache or dizziness , passing out, or change in eyesight. Signs of a weak adrenal gland like a very bad upset stomach or throwing up, very bad dizziness or passing out, muscle weakness, feeling very tired, mood changes, not hungry, or weight loss . Signs of Cushing's disease like weight gain in the upper back or belly, moon face, very bad headache, or slow healing. Feeling very tired, weak, or touchy; trembling; having a fast heartbeat , confusion, sweating, or dizziness if you missed a dose or recently stopped ZoDex (dexamethasone tablets). Shortness of breath, a big weight gain, or swelling in the arms or legs. Skin changes ( pimples , stretch marks, slow healing, hair growth). Fast, slow, or abnormal heartbeat. Chest pain or pressure. Swelling, warmth, numbness , change of color, or pain in a leg or arm. Period (menstrual) changes. Bone or joint pain. Muscle pain or weakness. Change in eyesight. Change in the way you act. Depression or other mood changes. Seizures . A burning, numbness, or tingling feeling that is not normal. Any unexplained bruising or bleeding. Very bad belly pain. Black, tarry, or bloody stools. Throwing up blood or throw up that looks like coffee grounds. ZoDex side effects"
Zyrtec-D 12 Hour,Hayfever,cetirizine hydrochloride and pseudoephedrine hydrochloride,
acrivastine / pseudoephedrine,Hayfever,,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Symptoms of overdose Blurred vision chest pain or discomfort cold, clammy, or pale skin confusion dizziness dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position irregular heartbeats seizures shortness of breath slow heart rate sweating unusual tiredness or weakness Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Dry mouth headache sleepiness or unusual drowsiness Less common Acid or sour stomach belching body aches or pain congestion cough dryness or soreness of the throat fever heartburn hoarseness indigestion lack or loss of strength nausea nervousness runny nose stomach discomfort, upset, or pain tender, swollen glands in the neck trouble sleeping trouble swallowing voice changes Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Acrivastine / pseudoephedrine side effects"
Aller-Ease,Hayfever,fexofenadine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Aller-Ease may cause serious side effects. Stop using Aller-Ease and call your doctor at once if you have: flu-like symptoms (fever, chills, unusual tiredness); new or worsening cough; pain; or signs of an ear infection--fever, ear pain or full feeling, trouble hearing, drainage from the ear, fussiness in a child. Common side effects of Aller-Ease may include: headache ; back pain ; or cold symptoms such as stuffy nose, sinus pain, sore throat ."
Astepro Allergy,Hayfever,azelastine hydrochloride,
azelastine / fluticasone,Hayfever,azelastine and fluticasone nasal,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. The medicine may cause serious side effects. Stop using the medicine and call your doctor at once if you have: severe drowsiness; severe or ongoing nosebleeds ; noisy breathing, runny nose , or crusting around your nostrils; redness, sores, or white patches in your mouth or throat; fever, chills, tiredness, body aches; blurred vision, tunnel vision, eye pain , or seeing halos around lights; any wound that will not heal; or signs of low adrenal gland hormones --worsening tiredness or weakness, feeling light-headed, nausea , vomiting . Steroid medicine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using azelastine and fluticasone nasal. Common side effects of azelastine and fluticasone nasal may include: headache ; nosebleeds; or altered sense of taste."
Beconase AQ,Hayfever,beclomethasone nasal,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Beconase AQ may cause serious side effects. Call your doctor at once if you have: severe or ongoing nosebleed; sores in the nose that won't heal; blurred vision, eye pain , or seeing halos around lights; signs of a hormonal disorder--worsening tiredness or muscle weakness, anxiety , feeling irritable, feeling light-headed, nausea , vomiting , loss of appetite, diarrhea , weight loss , or weight gain (especially in your face or your upper back and torso); or signs of infection--fever, chills, sores or white patches in or around your nose, flu symptoms, redness or swelling. Beconase AQ can affect growth in children. Talk with your doctor if you think your child is not growing at a normal rate while using Beconase AQ. Common side effects of Beconase AQ may include: discomfort or irritation inside your nose; sneezing, runny or stuffy nose; nosebleed; fever, sore throat ; headache , nausea; or unpleasant taste or smell."
Claritin-D 12 Hour,Hayfever,loratadine and pseudoephedrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; or severe dizziness , nervousness , or restless feeling. Common side effects of Claritin-D 12 Hour may include: dry mouth, nose, or throat; mild dizziness; or sleep problems ( insomnia )."
fexofenadine / pseudoephedrine,Hayfever,fexofenadine and pseudoephedrine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Fexofenadine and pseudoephedrine may cause serious side effects. Stop using fexofenadine and pseudoephedrine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; or severe dizziness , anxiety , restless feeling, tremors, or nervousness . Common side effects of fexofenadine and pseudoephedrine may include: mild dizziness; dry mouth, nose, or throat; nausea ; or sleep problems ( insomnia )."
loratadine / pseudoephedrine,Hayfever,loratadine and pseudoephedrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; or severe dizziness , nervousness , or restless feeling. Common side effects of loratadine and pseudoephedrine may include: dry mouth, nose, or throat; mild dizziness; or sleep problems ( insomnia )."
